P_a,SaO2sup,temp,DHbO2,DHHb,CCO,DHbT,DHbdiff,t
46.1193554348,0.98,32.8705,-6.0640566373,-4.7091716245,-2.4030729619,-10.7732282618,-1.3548850128,12866
45.9288657754,0.98,32.8689,-6.0893496392,-4.7433766408,-2.3660060142,-10.83272628,-1.3459729983,12876
45.1047919355,0.98,32.8686,-6.0659573823,-4.6966800145,-2.3893906928,-10.7626373968,-1.3692773678,12887
43.8134535135,0.97,32.8664,-6.04278707,-4.6613180774,-2.3962096182,-10.7041051474,-1.3814689926,12897
45.9657890957,0.97,32.8651,-6.0793185685,-4.6715911638,-2.3956436256,-10.7509097323,-1.4077274047,12908
45.6662715054,0.96255,32.8638,-6.0458748927,-4.6708412198,-2.40233112,-10.7167161125,-1.3750336728,12918
42.8771026882,0.97,32.8615,-6.0283759142,-4.74543269,-2.363533369,-10.7738086041,-1.2829432242,12929
45.1012612903,0.97,32.8603,-5.9496846451,-4.8050626554,-2.3923993449,-10.7547473005,-1.1446219897,12939
45.9579112903,0.9625274725,32.8569,-6.0404989577,-4.6708208442,-2.4253097972,-10.7113198019,-1.3696781135,12949
48.15675,0.97,32.856,-6.129249356,-4.5608270291,-2.4382071033,-10.690076385,-1.5684223269,12960
45.7361444444,0.97,32.8555,-6.1349967971,-4.6103435462,-2.4224058275,-10.7453403433,-1.5246532509,12970
45.6474282258,0.97,32.8519,-6.0903948546,-4.6498207843,-2.4155958414,-10.7402156388,-1.4405740703,12981
46.191044086,0.97,32.8497,-5.9995858813,-4.7857238817,-2.3901460439,-10.785309763,-1.2138619996,12991
49.2720818182,0.97,32.8499,-6.0706827047,-4.7271053548,-2.401326939,-10.7977880595,-1.3435773499,13002
43.9792992021,0.97,32.8482,-6.0857483081,-4.7590125301,-2.3887021883,-10.8447608382,-1.326735778,13012
44.367928877,0.97,32.8437,-6.0717453045,-4.6448489379,-2.4352240126,-10.7165942424,-1.4268963666,13022
45.871671123,0.97,32.8441,-6.1725205871,-4.6858748397,-2.3839164784,-10.8583954268,-1.4866457474,13033
46.3894705882,0.97,32.8416,-6.1999194446,-4.6672162141,-2.4139125767,-10.8671356587,-1.5327032305,13043
43.3973481383,0.97,32.8419,-6.2179618614,-4.6786561927,-2.3855651966,-10.8966180541,-1.5393056687,13054
45.2032888594,0.97,32.8392,-6.1349652792,-4.676614087,-2.4160901767,-10.8115793662,-1.4583511922,13064
46.0574590909,0.97,32.8393,-6.0627898461,-4.6721382178,-2.4509316466,-10.7349280639,-1.3906516284,13074
50.3041234043,0.97,32.8397,-6.1198654814,-4.7481424526,-2.4229612787,-10.8680079339,-1.3717230288,13085
45.305512766,0.97,32.8392,-6.1918797705,-4.659609424,-2.4129370011,-10.8514891945,-1.5322703465,13095
45.8581885027,0.97,32.8369,-6.2205354695,-4.6688498742,-2.4280345897,-10.8893853437,-1.5516855952,13106
46.061293617,0.97,32.8361,-6.2035719523,-4.6655630586,-2.4189085284,-10.8691350109,-1.5380088938,13116
47.4754648936,0.97,32.8375,-6.2719400583,-4.6015633568,-2.4320596444,-10.8735034151,-1.6703767015,13127
43.8018489418,0.97,32.8347,-6.2626089721,-4.6019995852,-2.4378742982,-10.8646085573,-1.6606093869,13137
44.7748363636,0.97,32.8352,-6.130014537,-4.8125476261,-2.3978789203,-10.9425621632,-1.3174669109,13147
46.1410968085,0.97,32.834,-6.1830475321,-4.7265043686,-2.4260988932,-10.9095519007,-1.4565431634,13158
47.7835159574,0.97,32.8333,-6.2910675595,-4.6243191915,-2.4487514566,-10.915386751,-1.6667483681,13168
43.9740539683,0.97,32.8338,-6.2998304987,-4.6461926297,-2.427482646,-10.9460231284,-1.6536378691,13179
45.8964050532,0.97,32.8329,-6.3004992302,-4.6524294914,-2.4051924278,-10.9529287216,-1.6480697388,13189
46.3302412234,0.97,32.8311,-6.3041284542,-4.6218702352,-2.4316766128,-10.9259986895,-1.682258219,13199
50.0026857143,0.97,32.8327,-6.2688855072,-4.6004393318,-2.4536369639,-10.869324839,-1.6684461753,13210
43.7611425134,0.97,32.8321,-6.2012513269,-4.7389958506,-2.4043908487,-10.9402471775,-1.4622554764,13220
46.3007180851,0.97,32.8311,-6.1837017981,-4.708313294,-2.4471091065,-10.8920150921,-1.4753885041,13231
46.4723529412,0.97,32.8305,-6.1213890304,-4.7913077675,-2.3996269978,-10.9126967979,-1.3300812629,13241
46.299594385,0.97,32.8311,-6.2169623264,-4.6998966942,-2.4254175878,-10.9168590206,-1.5170656323,13252
43.826018254,0.96,32.8311,-6.2806251215,-4.7205767947,-2.414352119,-11.0012019162,-1.5600483268,13262
45.6902213333,0.97,32.8296,-6.2885300386,-4.6324071643,-2.452604308,-10.9209372029,-1.6561228743,13272
46.2372228723,0.97,32.8296,-6.2892551045,-4.6114348028,-2.4377841691,-10.9006899073,-1.6778203017,13283
50.9679505319,0.97,32.8301,-6.2000649282,-4.7469204852,-2.4394508545,-10.9469854134,-1.4531444431,13293
44.741968617,0.97,32.8284,-6.1854894141,-4.7436801431,-2.4430565722,-10.9291695572,-1.441809271,13304
46.5541272727,0.97,32.8278,-6.2785024217,-4.6865247455,-2.4493401886,-10.9650271672,-1.5919776762,13314
47.8940649733,0.97,32.8284,-6.3021015608,-4.6131140078,-2.4799446481,-10.9152155686,-1.688987553,13325
48.8324949735,0.97,32.829,-6.390791092,-4.7716514972,-2.3789096679,-11.1624425892,-1.6191395948,13335
43.7834238095,0.97,32.8281,-6.3188350917,-4.6643497734,-2.438526777,-10.9831848651,-1.6544853184,13345
46.7577095238,0.97,32.8289,-6.2433692494,-4.7665937863,-2.4133526321,-11.0099630357,-1.476775463,13356
46.2964489362,0.97,32.8265,-6.3060895783,-4.6912350509,-2.442933212,-10.9973246293,-1.6148545274,13366
44.8765677249,0.97,32.8281,-6.0943550638,-4.8053153344,-2.4501906398,-10.8996703982,-1.2890397295,13377
44.7058460317,0.97,32.8264,-6.2097040203,-4.7169092757,-2.4699046243,-10.9266132961,-1.4927947446,13387
47.0296648936,0.97,32.8265,-6.3618252091,-4.7194119937,-2.4239086241,-11.0812372028,-1.6424132154,13398
46.1206395225,0.97,32.8259,-6.4258674174,-4.6155564168,-2.4375819851,-11.0414238342,-1.8103110006,13408
50.1797471204,0.97,32.8283,-6.5545264422,-4.479570704,-2.4916318752,-11.0340971462,-2.0749557382,13418
45.8180952381,0.97,32.8258,-6.4498703998,-4.6369755133,-2.4384749268,-11.0868459131,-1.8128948864,13429
47.2162486842,0.97,32.8262,-6.4695054094,-4.5188820839,-2.4767309962,-10.9883874932,-1.9506233255,13439
50.5419279255,0.97,32.8275,-6.4130383768,-4.6876194151,-2.4318018373,-11.1006577919,-1.7254189617,13450
47.9395138298,0.97,32.827,-6.3930598771,-4.6762452213,-2.4476855256,-11.0693050984,-1.7168146558,13460
47.0664121693,0.96,32.8276,-6.4249360679,-4.5387713961,-2.4818827417,-10.963707464,-1.8861646719,13471
47.3775857143,0.97,32.8263,-6.3575059907,-4.74907724,-2.4265049678,-11.1065832306,-1.6084287507,13481
47.2053465608,0.97,32.8269,-6.3882889196,-4.6337010135,-2.4732328918,-11.0219899331,-1.7545879061,13491
44.9813105541,0.97,32.8285,-6.429320316,-4.5889934243,-2.464529183,-11.0183137403,-1.8403268917,13502
45.5511684211,0.96,32.8266,-6.4092829774,-4.7394349449,-2.4329330029,-11.1487179223,-1.6698480325,13512
47.5738252632,0.96,32.8278,-6.3413501791,-4.7292260851,-2.4367940097,-11.0705762643,-1.612124094,13523
48.9074592593,0.96,32.8268,-6.3143220602,-4.7182401076,-2.4636932638,-11.0325621678,-1.5960819527,13533
44.7996769634,0.96,32.8268,-6.3796430017,-4.7211175574,-2.4418157343,-11.1007605591,-1.6585254443,13544
46.8812628272,0.97799,32.8276,-6.3422422122,-4.7004412229,-2.4734113723,-11.0426834351,-1.6418009893,13554
47.7139190476,0.96,32.8287,-6.4576940004,-4.6653999236,-2.4488471605,-11.123093924,-1.7922940767,13564
50.9652231579,0.96,32.8287,-6.4746351015,-4.5994770893,-2.4884483019,-11.0741121907,-1.8751580122,13575
46.8064210526,0.97,32.8287,-6.363495242,-4.7550529746,-2.4510327232,-11.1185482165,-1.6084422674,13585
47.3686152632,0.96,32.828,-6.4697851833,-4.6586778139,-2.47015715,-11.1284629971,-1.8111073694,13596
47.6990421053,0.97,32.8284,-6.5245814913,-4.6199431603,-2.4826250122,-11.1445246516,-1.904638331,13606
48.5252026178,0.96,32.8294,-6.5186723419,-4.6065176807,-2.4633524224,-11.1251900226,-1.9121546612,13617
44.7673394737,0.96,32.8279,-6.483483615,-4.6139943625,-2.4909616253,-11.0974779775,-1.8694892525,13627
46.2225552632,0.96,32.8282,-6.5373098124,-4.6822238261,-2.4620436166,-11.2195336385,-1.8550859863,13637
47.7391755263,0.96,32.8276,-6.4865981898,-4.7073087851,-2.4628556855,-11.1939069749,-1.7792894046,13648
48.9928276316,0.96,32.8295,-6.4803283177,-4.7427572736,-2.4538458897,-11.2230855912,-1.7375710441,13658
45.0493936842,0.96,32.8312,-6.5160967169,-4.650820764,-2.4855404524,-11.1669174809,-1.8652759529,13669
47.0650073879,0.96,32.8289,-6.5058806303,-4.7388698575,-2.4478294411,-11.2447504878,-1.7670107728,13679
47.4164563158,0.96,32.8299,-6.4690546566,-4.6444511983,-2.4702682944,-11.1135058549,-1.8246034583,13690
50.6377748072,0.96,32.8313,-6.5224683977,-4.7015603096,-2.4458074476,-11.2240287073,-1.8209080882,13700
45.0347557895,0.96,32.8321,-6.5697095803,-4.6572192843,-2.4648237212,-11.2269288646,-1.912490296,13710
47.7541284211,0.96,32.8321,-6.5464086969,-4.7126108892,-2.4686076262,-11.2590195861,-1.8337978077,13721
47.5881599476,0.96,32.8315,-6.5545841877,-4.7268093073,-2.446401432,-11.281393495,-1.8277748805,13731
46.7382994737,0.96,32.833,-6.4867755142,-4.699114929,-2.4654303762,-11.1858904432,-1.7876605852,13742
44.7773873684,0.96,32.8318,-6.5802870722,-4.794359178,-2.4471011773,-11.3746462502,-1.7859278943,13752
47.8757777778,0.96,32.8307,-6.5940380579,-4.6146503101,-2.4847299697,-11.2086883681,-1.9793877478,13763
46.9890919271,0.96,32.8315,-6.5834527406,-4.5918969909,-2.4985980743,-11.1753497316,-1.9915557497,13773
50.7746819149,0.96,32.8333,-6.5890899055,-4.6893851748,-2.4718191734,-11.2784750803,-1.8997047308,13783
45.9997147368,0.96,32.833,-6.6852885848,-4.6466921263,-2.4549541183,-11.3319807112,-2.0385964585,13794
47.3582960938,0.96,32.8324,-6.5091656195,-4.6589004894,-2.4900752303,-11.1680661089,-1.85026513,13804
48.2500484375,0.96,32.8333,-6.5252041813,-4.7468162864,-2.4701715057,-11.2720204677,-1.7783878949,13815
49.5500830729,0.96,32.8339,-6.5687955788,-4.7127068921,-2.465623222,-11.281502471,-1.8560886867,13825
47.0705947644,0.96,32.8345,-6.6845306117,-4.5953306626,-2.4829956538,-11.2798612743,-2.0891999491,13836
