t,DHbO2,DHHb,CCO,DHbT,DHbdiff,CBF,SaO2sup,P_a,temp
604.0,0.46605252489136717,-0.7591213243466086,0.05563003158774768,-0.29306879945524855,1.2251738492379758,0.007147693315876574,1.0,37.9125697368421,38.48077888868336
614.0,0.8498661805802641,-0.8968895841749536,0.055772055566235545,-0.04702340359468593,1.7467557647552177,0.007263854238825352,1.0,38.5205051282051,38.46333498393802
624.0,1.5083398011277893,-1.2162466001750225,0.05658508540255326,0.29209320095276325,2.724586401302812,0.007556286608848286,1.0,41.1828344370861,38.445746835104735
635.0,0.4758906448705744,-0.8068183081224412,0.05457911499920024,-0.3309276632518703,1.2827089529930156,0.007177976651801933,1.0,38.4517544871795,38.428016157598854
645.0,1.3414474730088415,-1.156932152781458,0.05551244550458093,0.18451532022738348,2.4983796257902995,0.007491165951012085,1.0,40.7058833333333,38.4101432527787
655.0,0.2501174251489182,-0.7100938373678325,0.05333736827232281,-0.45997641221890717,0.9602112625167507,0.007086212532425977,1.0,37.7250248387097,38.392127236878906
665.0,0.7208946936718199,-0.8561053641412606,0.053484994540708555,-0.13521067046942647,1.5770000578130805,0.007206837287046456,1.0,38.1018561290323,38.37396636556992
676.0,0.5540187577776692,-0.780158641876028,0.05275167531902984,-0.22613988409836594,1.3341773996536972,0.007136197541282784,1.0,37.5215896103896,38.355658442112414
686.0,0.7795434840174842,-0.869256176908376,0.05264698853937875,-0.08971269289089179,1.6487996609258602,0.0072096886586000665,1.0,37.972375,38.33720127963104
696.0,0.8212270225153873,-0.8993639564607676,0.05230156380643803,-0.07813693394537324,1.7205909789761549,0.007232462607719988,1.0,38.22522,38.31859318469779
706.0,0.35580363982880314,-0.7065105855898324,0.051086347659294706,-0.3507069457610328,1.0623142254186355,0.007060864392233128,1.0,37.0078022151899,38.2998334412035
716.0,0.8029317846823716,-0.8766338829028761,0.051280107267142605,-0.073702098220501,1.6795656675852477,0.007203337134858607,1.0,37.8325738853503,38.28092279054745
727.0,0.7834699108783632,-0.8870476724195058,0.05084417305036751,-0.10357776154113907,1.670517583297869,0.007208942432505462,1.0,38.0132891719745,38.261863912885225
737.0,0.6950755801256641,-0.8576877149728404,0.0502438329177365,-0.16261213484718695,1.5527632950985044,0.007179056204813388,1.0,37.84235,38.24266190576892
747.0,0.6930210093713001,-0.8569551772368236,0.049749498773878034,-0.16393416786552706,1.5499761866081236,0.007174151344874626,1.0,37.7839867924528,38.223324730183215
757.0,0.5277130304791555,-0.7860880508099974,0.048980900371250635,-0.2583750203308455,1.313801081289153,0.007108312879880257,1.0,37.2816379746835,38.20386355672116
768.0,0.7037097374448038,-0.8541231790697452,0.04874650762494637,-0.15041344162494852,1.557832916514549,0.007163070972800854,1.0,37.5933100628931,38.18429291116412
778.0,1.2488384696261967,-1.1015927786513942,0.049166417014949865,0.1472456909748061,2.350431248277591,0.007381872161046573,1.0,39.351757278481,38.16463050803294
788.0,0.4840694768371421,-0.8117150931225261,0.04755199260494038,-0.32764561628538047,1.2957845699596682,0.007119385067164314,1.0,37.6719980519481,38.14489668615484
798.0,0.4181288326677013,-0.7543071410801296,0.04682337138554483,-0.33617830841242835,1.172435973747831,0.007064984516057573,1.0,37.0086671875,38.125113419985695
809.0,0.6023487625686421,-0.8160165783745903,0.04654894170338415,-0.21366781580594818,1.4183653409432324,0.007113436153359326,1.0,37.1883885350319,38.1053029571981
819.0,0.6180255496099853,-0.8254593380618971,0.046061011347592745,-0.20743378845190819,1.4434848876718824,0.007117583588450226,1.0,37.2187339622641,38.08548620420144
829.0,1.1170760766785968,-1.0454778317980207,0.04635769481416668,0.07159824488056898,2.1625539084766174,0.007308974712569358,1.0,38.6703884615385,38.0656810288055
839.0,0.43015370738409686,-0.7838153514913451,0.044842951591499605,-0.3536616441072482,1.213969058875442,0.007074889205234953,1.0,37.1956896226415,38.04590066544587
850.0,1.6272133523092513,-1.3145232025138274,0.04627793283844564,0.3126901497954222,2.9417365548230787,0.007554141686223815,1.0,41.0667851265823,38.02615239699395
860.0,0.06538727296933189,-0.6893585325554632,0.043411431911491695,-0.6239712595861349,0.7547458055247951,0.0069894926664340815,1.0,37.0704678125,38.00643665961338
870.0,0.5311172931290358,-0.8172217222183491,0.04338241497075561,-0.28610442908931333,1.3483390153473849,0.007091522571328967,1.0,37.1672025157233,37.98674668396763
880.0,1.2834611073649747,-1.135726170562343,0.044024904383697466,0.14773493680261396,2.4191872779273176,0.007371806078128877,1.0,39.2150689440994,37.96706874987707
890.0,0.3525975843677678,-0.777289074865557,0.0421510263820164,-0.42469149049778565,1.1298866592333248,0.007050835087935166,1.0,37.1423578125,37.947383087746644
901.0,1.614586817210725,-1.3236159750596013,0.04361449127835372,0.29097084215112545,2.938202792270326,0.007542364810855538,1.0,40.98995,37.92766540382406
911.0,0.036674626748464334,-0.6887229955630225,0.04071850159594259,-0.6520483688145688,0.7253976223114869,0.006970593463958998,1.0,36.92915,37.90788893735252
921.0,0.43657049065763687,-0.7869238273115755,0.04055704194601987,-0.35035333665394575,1.2234943179692124,0.0070468774360357925,1.0,36.8308287037037,37.8880268823724
931.0,1.6635628721359872,-1.3099177522347567,0.04190320570667651,0.3536451199012305,2.973480624370744,0.007516140153044506,1.0,40.3689194968553,37.868054939596426
942.0,0.16471312644453562,-0.7199373503915076,0.03917636103906364,-0.555224223946972,0.8846504768360433,0.006984647779647362,1.0,36.765122392638,37.847953724130235
952.0,1.4566086473900945,-1.2314829734830521,0.04048521335573729,0.2251256739070442,2.6880916208731467,0.007433668506107418,1.0,39.748791875,37.8277107584109
962.0,0.06316245910973706,-0.6812189767573145,0.03788330475959613,-0.6180565176475739,0.7443814358670515,0.006945009368236511,1.0,36.4862781818182,37.807321827868975
972.0,0.4789957698385905,-0.8038566301724934,0.03777449800191658,-0.3248608603339065,1.282852400011084,0.007042212655145077,1.0,36.6842157407408,37.786791556013554
983.0,0.3090129040676217,-0.7246450814967567,0.03689692175003062,-0.4156321774291385,1.0336579855643784,0.006971495586330429,1.0,36.1217248484848,37.766133146834036
993.0,0.6304787305546249,-0.8520824699699077,0.03677588387294729,-0.22160373941528633,1.4825612005245326,0.007075393956504102,1.0,36.740337037037,37.74536733026106
1003.0,1.4493115324834278,-1.2182609086385021,0.03748895113426813,0.23105062384492925,2.66757244112193,0.007400601268584609,1.0,39.2810176829268,37.7245206227994
1013.0,0.06846282803994441,-0.6829099308500517,0.03493281154395225,-0.6144471028101108,0.7513727588899961,0.006927560369673488,1.0,36.2562972392638,37.7036230780621
1024.0,0.5836291315949325,-0.8545697420179827,0.034977600732246705,-0.27094061042305384,1.4381988736129152,0.007066721219695927,1.0,36.8028788819876,37.68270575018679
1034.0,0.28149229483260996,-0.7299978835057779,0.03391266721277091,-0.44850558867316437,1.0114901783383878,0.00695764967659741,1.0,36.0631493865031,37.66179812338683
1044.0,0.48515255250368483,-0.8041000667946037,0.03358116949662461,-0.31894751429092594,1.2892526192982885,0.007015747640001483,1.0,36.337078313253,37.64092576588076
1054.0,0.9227510297748864,-0.9942654951244343,0.03365910757016785,-0.07151446534955141,1.9170165248993207,0.007176824571067617,1.0,37.4868,37.62010844008923
1065.0,0.41444280819586155,-0.8028224257445729,0.032354669948700815,-0.38837961754870776,1.2172652339404344,0.0070083707382899395,1.0,36.4827893292683,37.59935884402095
1075.0,0.34679121994678397,-0.7636652981215128,0.03160514448757753,-0.4168740781747289,1.1104565180682968,0.0069713806217303565,1.0,36.1245024390244,37.57868207983212
1085.0,0.13924493004226335,-0.6692466935025898,0.03065173081990284,-0.5300017634603194,0.8084916235448532,0.006889376408679565,1.0,35.5069577380952,37.55807585866517
1095.0,0.5578214020233396,-0.8334761578894287,0.030645769492513013,-0.27565475586608557,1.3912975599127684,0.007022448776249015,1.0,36.2728390243903,37.53753137174568
1106.0,0.7666113962755468,-0.9392754188126489,0.030410497776417002,-0.17266402253710567,1.7058868150881956,0.007110683570671173,1.0,37.0102463855422,37.51703469883113
1116.0,0.3707495865502999,-0.7896147534801194,0.029254093939798866,-0.41886516692981957,1.1603643400304193,0.006979668091749247,1.0,36.2327847305389,37.496568590984246
1126.0,-0.06493948621892187,-0.5961404993580111,0.027933981021982867,-0.6610799855769329,0.5312010131390892,0.006816956555554289,1.0,35.0685213414634,37.47611445117918
1136.0,0.3104574793093704,-0.7326754910098252,0.02782551492421577,-0.42221801170046547,1.0431329703191956,0.0069241176722050195,1.0,35.5704069277108,37.45565433522402
1147.0,0.4335587528788345,-0.7915671215539071,0.02741673016558236,-0.3580083686750726,1.2251258744327416,0.006970248474616819,1.0,35.9138633928572,37.43517280070492
1157.0,0.9445279965379676,-1.014535856937142,0.027582277682289286,-0.07000786039917983,1.9590638534751097,0.0071589638359974605,1.0,37.2562970588235,37.4146584430344
1167.0,0.287788859036759,-0.7691665428468824,0.026073322212407393,-0.48137768381013046,1.0569554018836413,0.00694593722424983,1.0,36.030599408284,37.394104981241874
1177.0,0.241346082701952,-0.7344280943956853,0.025322601545633143,-0.4930820116937369,0.9757741770976374,0.006913111475428553,1.0,35.6710624260355,37.373511798633814
1188.0,0.4425142431085689,-0.8117054497663965,0.02496892585704951,-0.369191206657824,1.2542196928749654,0.0069740432190773275,1.0,35.9970662650603,37.35288390416747
1198.0,0.4161750752813731,-0.8065416054843162,0.024311547325255718,-0.39036653020293954,1.2227166807656893,0.006966468317570355,1.0,35.9757667664671,37.33223134779585
1208.0,1.657916844090753,-1.3365783241192446,0.025507400517514406,0.3213385199715191,2.9944951682099976,0.007436436344889537,1.0,39.4139623853211,37.311568180501034
1218.0,-0.12217353120657037,-0.6500830242786435,0.022445351708552656,-0.7722565554852139,0.5279094930720731,0.006833526682636596,1.0,35.6334865497076,37.29091108471904
1228.0,0.3062510475936584,-0.7755540197660054,0.022275885178218623,-0.4693029721723505,1.0818050673596638,0.006930843433882616,1.0,35.8066014836795,37.27027781028286
1239.0,0.18850994583596048,-0.7185890435899118,0.021430936878362755,-0.5300790977539478,0.9070989894258723,0.006880467751497563,1.0,35.4004767441861,37.24968554164889
1249.0,0.35223091338219703,-0.7813100215189586,0.02101366398626256,-0.42907910813676864,1.1335409349011556,0.00692875048049776,1.0,35.6484578947368,37.2291493075766
1259.0,1.2937999167502632,-1.1807659891169955,0.021756493791513495,0.11303392763326059,2.4745659058672587,0.007273528637773658,1.0,38.0578785714286,37.208680537415674
1269.0,0.0601895994605961,-0.7118044181240037,0.019462777024412587,-0.651614818663397,0.7719940175845998,0.006866918559386191,1.0,35.6374917159763,37.188285871936976
1280.0,0.30622059730308493,-0.7807344098943076,0.019075972518859438,-0.4745138125912334,1.0869550071973926,0.0069193586658366935,1.0,35.6850868421053,37.16796634281512
1290.0,0.17578058668665975,-0.7230988577809363,0.018228012475414765,-0.5473182710942766,0.898879444467596,0.006868619978225282,1.0,35.3151141176471,37.14771703036524
1300.0,0.3872517027853597,-0.8055644448464534,0.017879178170217766,-0.41831274206109725,1.192816147631813,0.006933351200455891,1.0,35.6683385964912,37.12752728504784
1310.0,0.5566934880393717,-0.883179338350029,0.0175054555880402,-0.3264858503106609,1.4398728263894007,0.006995673273710906,1.0,36.1171779069767,37.10738155418406
1321.0,0.4269578741208875,-0.840469482605485,0.016704753095403698,-0.41351160848460466,1.2674273567263725,0.0069571178166743155,1.0,35.9394630177515,37.08726079873672
1331.0,-0.12994898048847503,-0.6079617046988375,0.01522883258789524,-0.737910685187309,0.47801272421036245,0.006764241227805715,1.0,34.6916402941176,37.06714442649802
1341.0,0.36736056287810825,-0.7956883578905583,0.01525447943932147,-0.42832779501245,1.1630489207686665,0.006912828773030844,1.0,35.4554719298246,37.04701261480892
1351.0,0.3925528993750049,-0.8171430614385926,0.014673546642592874,-0.4245901620635806,1.2096959608135975,0.006927960705597009,1.0,35.6242362068966,37.02684884925581
1362.0,0.82686540301669,-1.0100323421118755,0.014678355392480656,-0.18316693909518733,1.8368977451285655,0.007089718419735117,1.0,36.785625,37.006642463496206
1372.0,0.23677541606256725,-0.7853161894191913,0.013231814629193418,-0.5485407733566277,1.0220916054817586,0.006896751189763265,1.0,35.6568813953488,36.98639093070086
1382.0,0.27490277636181304,-0.7870220411136835,0.012579622877158074,-0.512119264751874,1.0619248174754965,0.006894510907019492,1.0,35.50995,36.96610163425772
1392.0,0.6072927262515613,-0.9220729595171697,0.012385233065762051,-0.31478023326560844,1.529365685768731,0.007004474501425047,1.0,36.1851225433526,36.94579284372177
1403.0,0.20242217622758218,-0.7638490507828202,0.011162179055132025,-0.561426874555238,0.9662712270104024,0.00686978341651256,1.0,35.3749445714286,36.92549365456909
1413.0,1.1351038719429347,-1.1449108859719388,0.011801752440214731,-0.009807014028993422,2.2800147579148735,0.007193100040069049,1.0,37.4740040229885,36.90524272849691
1423.0,0.18970134403347316,-0.7894564209685306,0.009908305199507618,-0.5997550769350539,0.9791577650020038,0.006885877811389004,1.0,35.6951265895954,36.88508579490367
1433.0,-0.17912929776940345,-0.611086898811557,0.008623524866435153,-0.7902161965809569,0.4319576010421535,0.006738136613655354,1.0,34.5510255681818,36.865072027978705
1444.0,0.28726346436200245,-0.7843386972339914,0.00858114450664512,-0.4970752328719854,1.0716021615959939,0.006874352973932728,1.0,35.2206818181818,36.845249571435495
1454.0,0.30384975283943305,-0.79830220088785,0.007972889784137384,-0.4944524480484205,1.102151953727283,0.006883284330170089,1.0,35.318264,36.82566061802981
1464.0,1.4099266483480015,-1.2637824754737537,0.00889293399414437,0.1461441728742372,2.673709123821755,0.007285918276471209,1.0,38.0969625714286,36.80633654422855
1474.0,-0.023024834690687612,-0.7192660404581233,0.006387432712009981,-0.7422908751488109,0.6962412057674356,0.0068155019738605545,1.0,35.3155288135593,36.78729364201899
1485.0,1.5640590681543678,-1.3659322721572558,0.00793487760122551,0.19812679599710492,2.9299913403116236,0.007376320092418459,1.0,39.0833232352941,36.76852997836659
1495.0,-0.24314076051794586,-0.6533295802883217,0.004874773964175214,-0.8964703408062675,0.4101888197703758,0.006758865118538672,1.0,35.139503125,36.750023849020295
1505.0,0.17751529522798393,-0.7717913192484112,0.004687972879490639,-0.5942760240204237,0.9493066144763951,0.0068495758458881496,1.0,35.2405164772727,36.73173417470622
1515.0,1.4253647099545432,-1.2843513549032544,0.005789742746797239,0.14101335505129242,2.7097160648577976,0.00729169030465476,1.0,38.1897077142857,36.713603010760416
1526.0,0.013152348850066886,-0.7390514243628203,0.0033109746094867228,-0.725899075512757,0.7522037732128872,0.006819814693697049,1.0,35.3136190340909,36.69556011097423
1536.0,1.423971535367638,-1.297958972902297,0.004575434614738076,0.1260125624653341,2.721930508269935,0.007299702531489203,1.0,38.3479271186441,36.67752922373523
1546.0,-0.12723863494011312,-0.6959417973121944,0.0019000350367543058,-0.8231804322523146,0.5687031623720813,0.006780988904093489,1.0,35.1655468390805,36.65943553951207
1556.0,0.13894928969209985,-0.7620811137734762,0.0015145398189616924,-0.6231318240813835,0.9010304034655761,0.00683017040671943,1.0,35.1030213483146,36.64121349817153
1567.0,0.08533176017410682,-0.729256715525743,0.0007578620035161229,-0.6439249553516291,0.8145884756998498,0.006801035844466719,1.0,34.8254283333333,36.62281404633286
1577.0,0.32712713711364927,-0.8248891801217475,0.0004402988982225159,-0.4977620430081018,1.1520163172353968,0.006876355884277234,1.0,35.24665,36.604210438835615
1587.0,1.4099996340432774,-1.2827493593371582,0.0013039534746592217,0.12725027470612815,2.6927489933804356,0.007272414563041246,1.0,37.9923011428571,36.58540180851679
1597.0,-0.11946101795351538,-0.6975123619378145,-0.0013433230421455375,-0.816973379891337,0.5780513439842991,0.0067700339657016054,1.0,35.0140367231638,36.566413961136234
1608.0,0.41473243736214727,-0.881393283110878,-0.0013675969259882952,-0.46666084574873423,1.2961257204730252,0.006916205324841919,1.0,35.6212502793296,36.547297146833735
1618.0,0.016445536941056105,-0.7189475444077438,-0.002599352610565542,-0.7025020074666841,0.7353930813487999,0.006780788156311046,1.0,34.7736541436464,36.528120874379326
1628.0,0.2982054729470818,-0.8236597752392285,-0.0029049544627618128,-0.5254543022921538,1.1218652481863103,0.0068627351173378565,1.0,35.1744359550562,36.508966137852106
1638.0,1.2464745626792677,-1.2228770923323982,-0.002247447853504895,0.023597470346864213,2.469351655011666,0.007204180435448739,1.0,37.4957530726257,36.48991569716735
1649.0,-0.01575039412560386,-0.7351055580323269,-0.00456434982322429,-0.7508559521579272,0.719355163906723,0.006787403250783466,1.0,35.0070153846154,36.471043281383054
1659.0,0.1915414418414052,-0.7942308912174809,-0.0050087749182601005,-0.6026894493760793,0.9857723330588861,0.006831702384206431,1.0,35.0553681318681,36.45240275460957
1669.0,0.0776935506783687,-0.743359863236055,-0.005834424533765318,-0.6656663125576827,0.8210534139144237,0.006787970140765961,1.0,34.7410368715084,36.43401838183358
1679.0,0.23179783621974082,-0.80224913175363,-0.006275317392678611,-0.5704512955338927,1.0340469679733708,0.0068331731752733355,1.0,34.9694777777778,36.41587733729053
1690.0,0.6169648142783437,-0.9686168557317245,-0.006362625416912512,-0.35165204145337725,1.5855816700100682,0.006969714440884767,1.0,35.8863244382022,36.39792549886356
1700.0,0.10984773617043331,-0.7739480313094447,-0.00766860153772107,-0.6641002951390149,0.883795767479878,0.006806682207626036,1.0,34.9564491758242,36.38006736874095
1710.0,-0.3879609295127331,-0.5547123039851698,-0.00907199800430259,-0.9426732334978922,0.1667513744724367,0.006630949782267465,1.0,33.7831932960894,36.36217066522039
1720.0,0.38580934829034774,-0.8555337118266912,-0.008672319645213453,-0.4697243635363435,1.241343060117039,0.0068675114180396495,1.0,35.0522259668508,36.34407576185404
1731.0,0.21048287164249757,-0.801181709295065,-0.009533856597401542,-0.5906988376525675,1.0116645809375626,0.0068214842646363155,1.0,34.8964659459459,36.32560973020988
1741.0,0.7168174785489576,-1.0131980565527012,-0.009505827114445309,-0.29638057800374185,1.7300155351016588,0.006995754105996964,1.0,36.017642972973,36.306604294935944
1751.0,0.07571473439438847,-0.7696951488163357,-0.011039241898704463,-0.6939804144219508,0.8454098832107242,0.006791519182149379,1.0,34.8729519337017,36.286916557762126
